ano,playa,sitio,Intertidal.level,replicate,Chlorophyta_cob,Ochrophya_cob,Rhodophyta_cob,AlgasIncrustantes_cob
2015,Ushuaia NU,S1,high,1,0,0,62,0
2015,Ushuaia NU,S1,high,2,0,0,11,0
2015,Ushuaia NU,S1,high,3,0,0,51,0
2015,Ushuaia NU,S1,medium,1,0,0,0,0
2015,Ushuaia NU,S1,medium,2,0,0,0,0
2015,Ushuaia NU,S1,medium,3,0,0,0,0
2015,Ushuaia NU,S1,low,1,0,86,0,0
2015,Ushuaia NU,S1,low,2,0,98,3,0
2015,Ushuaia NU,S1,low,3,0,97,1,0
2015,Ushuaia NU,S2,high,1,0,0,11,0
2015,Ushuaia NU,S2,high,2,0,3,14,0
2015,Ushuaia NU,S2,high,3,0,10,82,0
2015,Ushuaia NU,S2,medium,1,0,0,0,0
2015,Ushuaia NU,S2,medium,2,0,0,0,2
2015,Ushuaia NU,S2,medium,3,0,0,0,0
2015,Ushuaia NU,S2,low,1,0,0,0,12
2015,Ushuaia NU,S2,low,2,0,117,3,0
2015,Ushuaia NU,S2,low,3,0,99,0,0
2015,Ushuaia UR,S3,high,1,2,0,12,0
2015,Ushuaia UR,S3,high,2,7,0,3,0
2015,Ushuaia UR,S3,high,3,23,0,7,0
2015,Ushuaia UR,S3,medium,1,2,34,0,0
2015,Ushuaia UR,S3,medium,2,12,1,0,0
2015,Ushuaia UR,S3,medium,3,1,0,3,0
2015,Ushuaia UR,S3,low,1,2,0,0,8
2015,Ushuaia UR,S3,low,2,0,0,0,98
2015,Ushuaia UR,S3,low,3,3,5,0,26
2015,Ushuaia UR,S4,high,1,82,0,16,0
2015,Ushuaia UR,S4,high,2,92,1,10,0
2015,Ushuaia UR,S4,high,3,11,0,3,0
2015,Ushuaia UR,S4,medium,1,6,0,5,0
2015,Ushuaia UR,S4,medium,2,15,0,3,0
2015,Ushuaia UR,S4,medium,3,70,1,10,0
2015,Ushuaia UR,S4,low,1,0,0,0,20
2015,Ushuaia UR,S4,low,2,0,0,0,21
2015,Ushuaia UR,S4,low,3,0,20,12,25
2015,Rio Grande NU,S5,high,1,0,0,0,0
2015,Rio Grande NU,S5,high,2,0,0,0,0
2015,Rio Grande NU,S5,high,3,0,0,0,0
2015,Rio Grande NU,S5,medium,1,5,44,1,0
2015,Rio Grande NU,S5,medium,2,3,83,3,1
2015,Rio Grande NU,S5,medium,3,16,25,0,0
2015,Rio Grande NU,S5,low,1,0,2,0,0
2015,Rio Grande NU,S5,low,2,0,5,0,0
2015,Rio Grande NU,S5,low,3,0,78,0,10
2015,Rio Grande NU,S6,high,1,0,0,0,0
2015,Rio Grande NU,S6,high,2,0,0,0,0
2015,Rio Grande NU,S6,high,3,0,0,0,0
2015,Rio Grande NU,S6,medium,1,0,21,0,0
2015,Rio Grande NU,S6,medium,2,0,30,0,1
